source_month,event_time,ts,ts_event,ts_vhist,bus,tr_seq,route_clean,stop_id_clean,stop_name_raw_clean,text_clean,description_clean,media_text_clean,corrected_rider_num
02,2025-02-13 09:02:32,2025-02-13 09:02:32,2025-02-13 09:02:32,,2102,45.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:02:38,2025-02-13 09:02:38,2025-02-13 09:02:38,,2102,46.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:02:38,2025-02-13 09:02:38,2025-02-13 09:02:38,,2102,46.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:02:41,2025-02-13 09:02:41,2025-02-13 09:02:41,,2102,47.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:02:41,2025-02-13 09:02:41,2025-02-13 09:02:41,,2102,47.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:04:28,2025-02-13 09:04:28,2025-02-13 09:04:28,,2102,48.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:04:28,2025-02-13 09:04:28,2025-02-13 09:04:28,,2102,48.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:04:32,2025-02-13 09:04:32,2025-02-13 09:04:32,,2102,49.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:04:32,2025-02-13 09:04:32,2025-02-13 09:04:32,,2102,49.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:04:34,2025-02-13 09:04:34,2025-02-13 09:04:34,,2102,50.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:04:34,2025-02-13 09:04:34,2025-02-13 09:04:34,,2102,50.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:04:36,2025-02-13 09:04:36,2025-02-13 09:04:36,,2102,51.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:04:36,2025-02-13 09:04:36,2025-02-13 09:04:36,,2102,51.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:04:38,2025-02-13 09:04:38,2025-02-13 09:04:38,,2102,52.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:04:38,2025-02-13 09:04:38,2025-02-13 09:04:38,,2102,52.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:04:41,2025-02-13 09:04:41,2025-02-13 09:04:41,,2102,53.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:04:41,2025-02-13 09:04:41,2025-02-13 09:04:41,,2102,53.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:04:43,2025-02-13 09:04:43,2025-02-13 09:04:43,,2102,54.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:04:43,2025-02-13 09:04:43,2025-02-13 09:04:43,,2102,54.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:04:53,2025-02-13 09:04:53,2025-02-13 09:04:53,,2102,55.0,32,,,Got fare,,,1
02,2025-02-13 09:04:53,2025-02-13 09:04:53,2025-02-13 09:04:53,,2102,55.0,32,,,Got fare,,,1
02,2025-02-13 09:05:03,2025-02-13 09:05:03,2025-02-13 09:05:03,,2102,56.0,32,,,Mobile Ticket Transaction,15 Ride Pass Mobile,15 RIDE,1
02,2025-02-13 09:05:03,2025-02-13 09:05:03,2025-02-13 09:05:03,,2102,56.0,32,,,Mobile Ticket Transaction,15 Ride Pass Mobile,15 RIDE,1
02,2025-02-13 09:05:09,2025-02-13 09:05:09,2025-02-13 09:05:09,,2102,57.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:05:09,2025-02-13 09:05:09,2025-02-13 09:05:09,,2102,57.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:05:11,2025-02-13 09:05:11,2025-02-13 09:05:11,,2102,58.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:05:11,2025-02-13 09:05:11,2025-02-13 09:05:11,,2102,58.0,32,,,Special card,Cornell Card,Cornell,1
02,2025-02-13 09:05:14,2025-02-13 09:05:14,2025-02-13 09:05:14,,2102,59.0,32,,,Special card,Cornell Card,Cornell,1
