Stop_Id_vhist,Stop_Name_vhist,boards,routes,cornell_card,cornell_override,cornell_card_share,cornell_any_observed_share
541,Wegmans,5234,"14S,15",1338,49,0.25563622468475355,0.2649980894153611
2568,Trumansburg Rd ,36,21,9,0,0.25,0.25
6374,HillviewTrc MHC,32,65,8,0,0.25,0.25
3521,Trphmr@Kendal,12,"30,32",3,1,0.25,0.3333333333333333
511,Clinton West Pl,12,67,3,3,0.25,0.5
6367,SDanbyParkRide,12,65,3,0,0.25,0.25
1375,The Parkway @ U,4,31,1,0,0.25,0.25
1757,Pine Tree Rd @ ,4,51,1,0,0.25,0.25
4328,RR@Main (Fville,4,43,1,0,0.25,0.25
774,Campbell @ Hopk,4,14,1,0,0.25,0.25
3519,Triphmr@Winthro,37,"30,32,36",9,0,0.24324324324324326,0.24324324324324326
3947,Guthrie Ithaca,29,31,7,2,0.2413793103448276,0.3103448275862069
2582,Trumansburg Rd ,25,21,6,0,0.24,0.24
3794,20 Thornwood Dr,216,32,51,3,0.2361111111111111,0.25
3519,Triphammer @ Wi,111,"30,32,36",26,1,0.23423423423423423,0.24324324324324326
329,Coddington at I,331,"11,65",77,0,0.2326283987915408,0.2326283987915408
547,Fairgrounds Mem,142,"14S,15",33,4,0.2323943661971831,0.2605633802816901
3783,Brown @ Culliga,87,32,20,2,0.22988505747126436,0.25287356321839083
5759,Caroline Town,537,52,122,2,0.2271880819366853,0.2309124767225326
2623,Main @ South (T,248,21,56,1,0.22580645161290322,0.22983870967741934
4751,North @ Lee,245,43,55,2,0.22448979591836735,0.23265306122448978
2557,Professional Bu,49,14,11,1,0.22448979591836735,0.24489795918367346
110,Geneva @ State,148,15,33,5,0.22297297297297297,0.25675675675675674
524,Plain @ Wood,63,15,14,0,0.2222222222222222,0.2222222222222222
1513,Baker Flagpole,18,92,4,14,0.2222222222222222,1.0
2557,ProfessionalBld,18,14,4,0,0.2222222222222222,0.2222222222222222
4509,Dryden Rd @ For,68,43,15,1,0.22058823529411764,0.23529411764705882
4710,Dryden Rd @ Geo,68,43,15,0,0.22058823529411764,0.22058823529411764
5538,Snyder Hill @ P,161,51,35,21,0.21739130434782608,0.34782608695652173
4326,Rte38@Main,46,"40,43",10,1,0.21739130434782608,0.2391304347826087
4359,South @ Main (G,51,"40,43",11,0,0.21568627450980393,0.21568627450980393
709,Chestnut @ Elm ,1285,14,276,7,0.21478599221789882,0.22023346303501945
4567,Upper Creek @ E,42,31,9,5,0.21428571428571427,0.3333333333333333
3316,Triphamr@Peruvi,14,"36,37",3,0,0.21428571428571427,0.21428571428571427
3781,Thornwd@Brown,14,32,3,0,0.21428571428571427,0.21428571428571427
543,HomeGoods,981,"14S,15",209,7,0.2130479102956167,0.22018348623853212
757,Westhaven Road ,33,14,7,0,0.21212121212121213,0.21212121212121213
4749,36 North St - D,85,43,18,0,0.21176470588235294,0.21176470588235294
4717,Dryden Vill PO,441,43,93,3,0.2108843537414966,0.21768707482993196
2556,Tbrg@ProfBldg,19,21,4,0,0.21052631578947367,0.21052631578947367
2545,Cayuga Medical ,43,14,9,0,0.20930232558139536,0.20930232558139536
3783,Brown@Culligan,24,32,5,0,0.20833333333333334,0.20833333333333334
3951,HanshaVillage,59,31,12,1,0.2033898305084746,0.22033898305084745
928,Third @ Cascadi,110,13,22,18,0.2,0.36363636363636365
115,State/MLK @ Alb,55,14,11,1,0.2,0.21818181818181817
6321,DanbyRd @ King,15,65,3,0,0.2,0.2
6322,Danby @ King,10,65,2,0,0.2,0.2
6374,Hillview Terrac,10,65,2,0,0.2,0.2
1756,Dryden@Synchrot,5,"32,40",1,1,0.2,0.4
3312,Asbury @ Tripha,5,37,1,0,0.2,0.2
4359,South @ Main,5,"40,43",1,0,0.2,0.2
562,Meadow@Elmira,5,67,1,0,0.2,0.2
725,Warren Pl @ Sun,5,14,1,0,0.2,0.2
2584,Jacksonville PO,372,21,74,7,0.1989247311827957,0.21774193548387097
6357,Danby Rd @ Mich,82,65,16,0,0.1951219512195122,0.1951219512195122
709,Chstnt@Elm,134,14,26,5,0.19402985074626866,0.23134328358208955
317,Hudson at South,42,"11,65",8,0,0.19047619047619047,0.19047619047619047
4365,Groton Speedway,2195,"40,43",418,41,0.19043280182232347,0.2091116173120729
2627,Main @ Washingt,700,"21,22",133,5,0.19,0.19714285714285715
172,Ithaca Commons ,206,"11,65",39,0,0.18932038834951456,0.18932038834951456
549,WalMart,8493,"14S,15",1573,72,0.1852113505239609,0.19368892028729542
